start_station_name,trip_count,lat,lng
DuSable Lake Shore Dr & Diversey Pkwy,121,41.93259871,-87.636395931
Damen Ave & Leland Ave,118,41.967079163,-87.67907846
Field Museum,118,41.865312,-87.617867
Loomis St & Jackson Blvd,117,41.877945,-87.662007
Larrabee St & Armitage Ave,116,41.918084,-87.643749
DuSable Lake Shore Dr & North Blvd,115,41.911722,-87.626804
Lincoln Ave & Waveland Ave,114,41.948797,-87.675278
Winthrop Ave & Lawrence Ave,114,41.968812,-87.657659
Ravenswood Ave & Irving Park Rd,114,41.95469,-87.67393
Ashland Ave & Blackhawk St,112,41.907066,-87.667252
Larrabee St & Menomonee St,112,41.91468,-87.64332
Calumet Ave & 18th St,112,41.85761755293753,-87.61941075325012
Walsh Park,110,41.91461,-87.667968
Clark St & Montrose Ave,110,41.961588,-87.666036
Greenview Ave & Diversey Pkwy,108,41.93258963429789,-87.66593635082245
Wilton Ave & Diversey Pkwy*,107,41.932418,-87.652705
Emerald Ave & 31st St,106,41.838198,-87.645143
Damen Ave & Madison St,105,41.88137,-87.67493
Harper Ave & 59th St,105,41.78794281287,-87.5883151702
Sheridan Rd & Lawrence Ave,105,41.969517,-87.654691
Lincoln Ave & Belle Plaine Ave,104,41.95600355078549,-87.68016144633293
Sedgwick St & Schiller St,103,41.907626,-87.638566
Ashland Ave & 13th St,103,41.865234,-87.666507
Lincoln Park Conservatory,102,41.92393131136619,-87.63582453131676
Spaulding Ave & Armitage Ave,102,41.91710803478932,-87.71022096276283
Seeley Ave & Roscoe St,102,41.943403,-87.679618
Chicago Ave & Sheridan Rd,101,42.050491,-87.677821
Stave St & Armitage Ave,99,41.917741,-87.691392
Leavitt St & Chicago Ave,99,41.895501,-87.682017
California Ave & Francis Pl,99,41.91849115368695,-87.69742280244827
Logan Blvd & Elston Ave,98,41.929465,-87.684158
Canal St & Harrison St,98,41.874255,-87.639573
State St & 35th St,97,41.8310363140161,-87.62679755687714
Leavitt St & Armitage Ave,96,41.917805,-87.682437
Lincoln Ave & Sunnyside Ave,95,41.963004,-87.684781
Western Ave & Fillmore St,94,41.868563,-87.686234
Damen Ave & Charleston St,94,41.920082,-87.677855
Campbell Ave & Montrose Ave,94,41.961524,-87.691177
Leavitt St & North Ave,94,41.910533,-87.682308
Albany Ave & Bloomingdale Ave,94,41.91402671273,-87.705126462
Ashland Ave & Lake St,93,41.88592,-87.66717
Shields Ave & 31st St,93,41.838464,-87.635406
Damen Ave & Grand Ave,93,41.89239445296271,-87.67688512802124
Damen Ave & Foster Ave,93,41.9758109755749,-87.67950989857908
Glenwood Ave & Morse Ave,92,42.00797192287,-87.6655023944
Paulina Ave & North Ave,92,41.90985465216731,-87.66993016004562
California Ave & Cortez St,91,41.900363,-87.696704
Ogden Ave & Congress Pkwy,90,41.87501,-87.67328
Ravenswood Ave & Berteau Ave,90,41.957921,-87.673567
Morgan St & 18th St,90,41.858086,-87.651073
Ashland Ave & Wrightwood Ave,89,41.92883,-87.668507
Western Ave & Walton St,88,41.89841768945,-87.6865960164
Racine Ave & Randolph St,87,41.884081224846845,-87.65692072930314
Wentworth Ave & Cermak Rd*,86,41.853214418519656,-87.63187229633331
St. Louis Ave & Fullerton Ave,86,41.92481559681187,-87.71449506282805
Clinton St & 18th St,86,41.85795,-87.640826
Indiana Ave & 31st St,85,41.838842,-87.621857
Greenview Ave & Jarvis Ave,85,42.015962,-87.66857
Theater on the Lake,84,41.926277,-87.630834
Broadway & Ridge Ave,84,41.9840446107,-87.6602738295
Morgan St & 31st St,83,41.8378,-87.65114
McCormick Place,83,41.8513751729,-87.6188346489
